2022-11-18 16:40:49 WARNING  Tmp initial location time elapsed: 7.561577 
2022-11-18 16:40:49 WARNING  Tmp initial location time elapsed: 7.661874 
2022-11-18 16:40:49 WARNING  Tmp initial location time elapsed: 7.763302 
2022-11-18 16:40:49 WARNING  Tmp initial location time elapsed: 7.862171 
2022-11-18 16:40:50 WARNING  Tmp initial location time elapsed: 7.962314 
2022-11-18 16:40:50 WARNING  Tmp initial location time elapsed: 8.062348 
2022-11-18 16:40:50 WARNING  Tmp initial location time elapsed: 8.162553 
2022-11-18 16:40:50 WARNING  Tmp initial location time elapsed: 8.262403 
2022-11-18 16:40:50 WARNING  Tmp initial location time elapsed: 8.362799 
2022-11-18 16:40:50 WARNING  Tmp initial location time elapsed: 8.463403 
2022-11-18 16:40:50 WARNING  Tmp initial location time elapsed: 8.562977 
2022-11-18 16:40:50 WARNING  Tmp initial location time elapsed: 8.664217 
2022-11-18 16:40:50 WARNING  Tmp initial location time elapsed: 8.764932 
2022-11-18 16:40:50 WARNING  Tmp initial location time elapsed: 8.864861 
2022-11-18 16:40:51 WARNING  Tmp initial location time elapsed: 8.964311 
2022-11-18 16:40:51 WARNING  Tmp initial location time elapsed: 9.064687 
2022-11-18 16:40:51 WARNING  Tmp initial location time elapsed: 9.164351 
2022-11-18 16:40:51 WARNING  Tmp initial location time elapsed: 9.264310 
2022-11-18 16:40:51 WARNING  Tmp initial location time elapsed: 9.364762 
2022-11-18 16:40:51 WARNING  Tmp initial location time elapsed: 9.465257 
2022-11-18 16:40:51 WARNING  Tmp initial location time elapsed: 9.565902 
2022-11-18 16:40:51 WARNING  Tmp initial location time elapsed: 9.665280 
2022-11-18 16:40:51 WARNING  Tmp initial location time elapsed: 9.765313 
2022-11-18 16:40:51 WARNING  Tmp initial location time elapsed: 9.866019 
2022-11-18 16:40:52 WARNING  Tmp initial location time elapsed: 9.966525 
2022-11-18 16:40:52 WARNING  Tmp initial location time elapsed: 10.065951 
2022-11-18 16:40:52 WARNING  Mode just after initial gps location calculation is: auto
2022-11-18 16:40:52 WARNING  Robot should move forward now for 20 seconds
2022-11-18 16:41:12 WARNING  Straight moving time elapsed: 20.355781 
2022-11-18 16:41:12 WARNING  Mode just after straight line moving is: auto
2022-11-18 16:41:12 WARNING  Starting to find initial heading using GPS co-ordinates. Waiting for 10 sec here and then do the calculation
2022-11-18 16:41:22 WARNING  Tmp final location time elapsed: 10.004344
2022-11-18 16:41:22 WARNING  Mode just after final gps location calculation is: auto
2022-11-18 16:41:22 WARNING  Calculated heading (in degrees) is: -92.114034°
2022-11-18 16:41:22 WARNING  Please switch modes using Joystick to operate robot further
2022-11-18 16:41:31 WARNING  Changed mode from: auto to manual
2022-11-18 16:41:34 WARNING  Changed mode from: manual to auto
